feature,selection_frequency,mean_rank_when_selected,mean_gain_share
F470,0.1,44.0,0.0010167911510936924
F3109,0.1,41.0,0.0010138746353698406
F156,0.1,49.0,0.0010070008164487854
F3043,0.1,53.0,0.001002070717266281
F2429,0.1,53.0,0.0009974201074937862
F524,0.1,44.0,0.0009849950132365122
F1802,0.1,52.0,0.0009807660405370846
F268,0.1,46.0,0.000978012533127846
F3742,0.1,54.0,0.000976881930409198
F531,0.1,46.0,0.0009764247823791844
F527,0.1,47.0,0.000975862923376373
F1812,0.1,46.0,0.0009730749438834741
F2484,0.1,56.0,0.0009671774006494108
F365,0.1,57.0,0.0009639890714399851
F2591,0.1,47.0,0.000961837085913969
F3900,0.1,46.0,0.0009461584619990312
F3744,0.1,55.0,0.0009445939934043436
F476,0.1,59.0,0.0009443946462847198
F117,0.1,49.0,0.0009438898468867885
F1327,0.1,47.0,0.0009334808868651966
F1382,0.1,50.0,0.000930367346982507
F496,0.1,49.0,0.0009114914385209238
F1167,0.1,49.0,0.0009066453506975044
F2783,0.1,56.0,0.0008975079474864028
F1153,0.1,58.0,0.0008923998203956029
F3837,0.1,54.0,0.0008729328477913783
F326,0.1,49.0,0.0008726367400548418
F323,0.1,51.0,0.0008496012229706046
F526,0.1,52.0,0.0008279930376778867
F1971,0.1,56.0,0.0008193165053880478
F2675,0.1,45.0,0.0008165702542571849
F2735,0.1,57.0,0.0008148301428203481
F2499,0.1,53.0,0.0008102076081822513
F2284,0.1,55.0,0.0008059840402969702
F2482,0.1,46.0,0.0008047455967136685
F196,0.1,55.0,0.0007993550152317149
F3062,0.1,54.0,0.0007716713124642947
F1708,0.1,58.0,0.0007635709483122776
F1490,0.1,57.0,0.0007574438026802479
F1853,0.1,59.0,0.0007535698217413542
F145,0.1,58.0,0.0007486690940643758
F2125,0.1,59.0,0.0007435494912071026
F2035,0.1,59.0,0.0007402438764719762
F2067,0.1,60.0,0.0007336565454604794
F1389,0.1,50.0,0.0007182009580175505
F2068,0.1,56.0,0.0007073313187947101
F2076,0.1,57.0,0.0006959511090955554
F1084,0.1,53.0,0.0006896013125267294
F2903,0.1,59.0,0.0006812450290322389
F3798,0.1,60.0,0.0006709631948610041
F1105,0.1,55.0,0.0006447509120279081
F1431,0.1,56.0,0.0006354355076148414
F328,0.1,59.0,0.0006174678010429552
F1106,0.1,60.0,0.0006174464539918585
