feature,selection_frequency
F329,0.030000000000000006
F406,0.030000000000000006
F411,0.030000000000000006
F508,0.030000000000000006
F575,0.030000000000000006
F605,0.030000000000000006
F1106,0.030000000000000006
F1206,0.030000000000000006
F1207,0.030000000000000006
F1428,0.030000000000000006
F1530,0.030000000000000006
F1720,0.030000000000000006
F1753,0.030000000000000006
F1855,0.030000000000000006
F2178,0.030000000000000006
F2295,0.030000000000000006
F2445,0.030000000000000006
F2539,0.030000000000000006
F2610,0.030000000000000006
F2677,0.030000000000000006
F2693,0.030000000000000006
F2895,0.030000000000000006
F3056,0.030000000000000006
F3404,0.030000000000000006
F3488,0.030000000000000006
F3505,0.030000000000000006
F3552,0.030000000000000006
F3754,0.030000000000000006
F3795,0.030000000000000006
F3828,0.030000000000000006
F3837,0.030000000000000006
F3845,0.030000000000000006
F3891,0.030000000000000006
F3909,0.030000000000000006
F13,0.03
F50,0.03
F71,0.03
F90,0.03
F95,0.03
F96,0.03
F152,0.03
F217,0.03
F218,0.03
F228,0.03
F256,0.03
F274,0.03
F297,0.03
F340,0.03
F451,0.03
F546,0.03
F739,0.03
F997,0.03
F1194,0.03
F1388,0.03
F1744,0.03
F1867,0.03
F1925,0.03
F2036,0.03
F2251,0.03
F2286,0.03
F2423,0.03
F2480,0.03
F2481,0.03
F2950,0.03
F2951,0.03
F2956,0.03
F3144,0.03
F3446,0.03
F3709,0.03
F3745,0.03
F3798,0.03
F3815,0.03
F3836,0.03
F1,0.025
F16,0.025
F17,0.025
F40,0.025
F91,0.025
F99,0.025
F101,0.025
F130,0.025
F167,0.025
F219,0.025
F247,0.025
F271,0.025
F294,0.025
F306,0.025
F380,0.025
F414,0.025
F426,0.025
F503,0.025
F507,0.025
F547,0.025
F577,0.025
F988,0.025
F994,0.025
F1006,0.025
F1105,0.025
F1154,0.025
F1183,0.025
F1204,0.025
F1212,0.025
F1257,0.025
F1279,0.025
F1315,0.025
F1438,0.025
F1538,0.025
F1596,0.025
F1645,0.025
F1708,0.025
F1723,0.025
F1743,0.025
F1751,0.025
F1793,0.025
F1817,0.025
F1818,0.025
F1849,0.025
F1852,0.025
F1860,0.025
F1918,0.025
F1964,0.025
F2037,0.025
F2092,0.025
F2176,0.025
F2177,0.025
F2215,0.025
F2285,0.025
F2302,0.025
F2359,0.025
F2499,0.025
F2523,0.025
F2525,0.025
F2569,0.025
F2571,0.025
F2625,0.025
F2640,0.025
F2721,0.025
F2755,0.025
F2773,0.025
F2777,0.025
F2781,0.025
F2993,0.025
F3038,0.025
F3044,0.025
F3142,0.025
F3494,0.025
F3518,0.025
F3541,0.025
F3597,0.025
F3637,0.025
F3638,0.025
F3646,0.025
F3647,0.025
F3705,0.025
F3746,0.025
F3760,0.025
F3768,0.025
F3804,0.025
F3846,0.025
F3849,0.025
F3864,0.025
F3866,0.025
F3867,0.025
F3882,0.025
F3893,0.025
F3907,0.025
F4,0.02
F18,0.02
F21,0.02
F22,0.02
F38,0.02
F68,0.02
F114,0.02
F164,0.02
F165,0.02
F202,0.02
F249,0.02
F258,0.02
F263,0.02
F279,0.02
F299,0.02
F311,0.02
F345,0.02
F362,0.02
F363,0.02
F370,0.02
F377,0.02
F445,0.02
F447,0.02
F476,0.02
F490,0.02
F520,0.02
F522,0.02
F578,0.02
F607,0.02
F733,0.02
F957,0.02
F970,0.02
F972,0.02
F992,0.02
F1096,0.02
F1097,0.02
F1107,0.02
F1112,0.02
F1208,0.02
F1218,0.02
F1223,0.02
F1258,0.02
F1275,0.02
F1281,0.02
F1316,0.02
F1321,0.02
F1322,0.02
F1423,0.02
F1512,0.02
F1535,0.02
F1537,0.02
F1595,0.02
F1600,0.02
F1615,0.02
F1646,0.02
F1685,0.02
F1702,0.02
F1703,0.02
F1740,0.02
F1750,0.02
F1754,0.02
F1906,0.02
F1961,0.02
F1984,0.02
F2008,0.02
F2033,0.02
F2068,0.02
F2080,0.02
F2081,0.02
F2084,0.02
F2141,0.02
F2179,0.02
F2284,0.02
F2303,0.02
F2397,0.02
F2425,0.02
F2457,0.02
F2483,0.02
F2532,0.02
F2544,0.02
F2613,0.02
F2619,0.02
F2634,0.02
