feature,target_corr,single_feature_cv_pr_auc,single_feature_cv_roc_auc,mutual_information_bits,label_reconstruction_rate,identifier_like,flag_high_corr,flag_high_single_ap,flag_label_copy,flag_perfect_separation,flag_identifier,suspicious
F140,0.0,0.008960060174152979,0.5001109568758098,0.00011722796114644635,0.0,false,false,false,false,false,false,false
F141,-0.07553055906404056,0.010515860918931428,0.5369693442595433,0.0017907700389771047,0.0,false,false,false,false,false,false,false
F142,-0.07686491149597839,0.010518859240240434,0.5353898146409221,0.0020307713273084354,0.0,false,false,false,false,false,false,false
F143,0.0,0.008959140699901804,0.4999998457646987,0.00011722796114660522,0.0,false,false,false,false,false,false,false
F144,-0.07770854075801545,0.010502229825988422,0.5356299913265324,0.0019526065996412225,0.0,false,false,false,false,false,false,false
F145,0.06562942168984635,0.009974529613280023,0.5194411687588232,0.0016594480257230385,0.0,false,false,false,false,false,false,false
F146,0.0,0.00897288489218705,0.5001667592078475,0.000158943615597805,0.0,false,false,false,false,false,false,false
F147,0.06656843056435073,0.00999839622208249,0.5214151596970455,0.00161709981496925,0.0,false,false,false,false,false,false,false
F148,0.06527840277967689,0.0100571323013032,0.5209868777512856,0.0019259915415810018,0.0,false,false,false,false,false,false,false
F149,0.0,0.008974853644398022,0.5001667900549078,0.00015894361559780546,0.0,false,false,false,false,false,false,false
F150,0.0662564041317293,0.010090305652226515,0.5228458961388553,0.0018819410797013755,0.0,false,false,false,false,false,false,false
F151,0.040239234399152786,0.013836924563084167,0.590268305802332,0.002414927793866683,0.0,false,false,false,false,false,false,false
F152,0.03833196537427396,0.012895681813264216,0.5761114805953845,0.0023274317987957305,0.0,false,false,false,false,false,false,false
F153,0.05369545127214756,0.011896859137481449,0.5635135096515009,0.002896874560839988,0.0,false,false,false,false,false,false,false
F154,0.03358036932606683,0.013402209541962137,0.5970470880375099,0.0027505731825741148,0.0,false,false,false,false,false,false,false
F155,0.030896946237113428,0.01237981925402505,0.5756371320807612,0.0018478131111478147,0.0,false,false,false,false,false,false,false
F156,0.05655524199603646,0.011964318014607955,0.5745361109069762,0.002619549868505131,0.0,false,false,false,false,false,false,false
F157,0.0809186319035015,0.025994759036684162,0.6848046787959123,0.006747822003418866,0.0,false,false,false,false,false,false,false
F158,0.06885796822946355,0.02309721205125521,0.6886734961150849,0.005880036127432034,0.0,false,false,false,false,false,false,false
F159,0.09307979175083744,0.03627257002885263,0.6896618401224084,0.008593027521545404,0.0,false,false,false,false,false,false,false
F160,0.07188553091492261,0.02519534017402624,0.7136020927689046,0.007003777513208111,0.0,false,false,false,false,false,false,false
F161,0.056142832508899336,0.021753099735738565,0.6717145266745417,0.004895820430626859,0.0,false,false,false,false,false,false,false
F162,0.07709222003046234,0.03501167386759158,0.7169818866515698,0.009008384740962924,0.0,false,false,false,false,false,false,false
F163,0.02697979331298877,0.01184320314697401,0.5498190521651007,0.003226460236742123,0.0,false,false,false,false,false,false,false
F164,0.0338690094336758,0.012401991505564331,0.562145617970953,0.0024065548665199695,0.0,false,false,false,false,false,false,false
F165,-0.040719179808303425,0.009862057881898905,0.5062086649392313,0.0020935943833370664,0.0,false,false,false,false,false,false,false
F166,0.019707756655362937,0.011483679842470906,0.540323440953283,0.0022639328952594284,0.0,false,false,false,false,false,false,false
F167,0.025541012709009932,0.011930782522807977,0.5460502956781454,0.0019260486463404049,0.0,false,false,false,false,false,false,false
F168,-0.041066894448451935,0.009649733204767379,0.49532585292121656,0.0020946175898821284,0.0,false,false,false,false,false,false,false
F169,0.05041178167704123,0.010075347990966934,0.5283274955271764,0.0016463842799432783,0.0,false,false,false,false,false,false,false
F170,0.03939007026027312,0.009550997771053176,0.5121604104972546,0.0008399013387699302,0.0,false,false,false,false,false,false,false
F171,0.04821390823256315,0.009671336255679187,0.5174762458356468,0.001276493749285855,0.0,false,false,false,false,false,false,false
F172,0.04469380059490337,0.009905137370512816,0.5186017008297858,0.0014376437016302961,0.0,false,false,false,false,false,false,false
F173,0.029531708557777155,0.009370537537884338,0.5008855843975569,0.0008653013394312363,0.0,false,false,false,false,false,false,false
F174,0.048036509446413106,0.009670063016939318,0.5176084833271639,0.0012812442460867447,0.0,false,false,false,false,false,false,false
F175,0.06302871338749931,0.010545580930965498,0.5172380612804071,0.00043833982644714503,0.0,false,false,false,false,false,false,false
F176,0.0,0.008945745077908126,0.5,8.541533938668534e-6,0.0,false,false,false,false,false,false,false
F177,0.06314859949771146,0.010548438693202086,0.517394486609654,0.00043833982644684113,0.0,false,false,false,false,false,false,false
F178,0.05940015766024403,0.010583277832678942,0.5189825791227096,0.0004338489891144582,0.0,false,false,false,false,false,false,false
F179,0.0,0.008945745077908126,0.5,8.541533938668534e-6,0.0,false,false,false,false,false,false,false
F180,0.059444320889598334,0.010583277832678942,0.5189825791227096,0.0004338489891144582,0.0,false,false,false,false,false,false,false
F181,0.0,0.008918738132841702,0.5,1.4231952855916404e-6,0.0,false,false,false,false,false,false,false
